meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Paris 2024,46.40,31/07/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,1,1,1030,Paris,FRA
World Aquatics Championships - Doha 2024,46.80,11/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,2,2,1003,Doha,QAT
Olympic Games Paris 2024,46.92,27/07/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,3,3,996,Paris,FRA
2024 China National Swimming Championships,46.97,23/04/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,4,4,992,Shenzhen,CHN
Olympic Games Paris 2024,47.21,30/07/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,5,5,977,Paris,FRA
World Aquatics Championships - Doha 2024,47.53,15/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,6,6,958,Doha,QAT
2024 China National Swimming Championships,47.54,22/04/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,7,7,957,Shenzhen,CHN
World Aquatics Championships - Doha 2024,47.73,14/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,8,8,946,Doha,QAT
2024 China National Swimming Championships,47.79,22/04/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,9,9,942,Shenzhen,CHN
World Aquatics Championships - Doha 2024,47.82,14/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,10,10,940,Doha,QAT
Mare Nostrum MON 2024,47.91,01/06/2024,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,11,11,935,Monaco,MON
World Aquatics Championships - Doha 2024,47.93,15/02/2024,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,12,12,934,Doha,QAT
World Aquatics Championships - Doha 2024,47.93,14/02/2024,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,12,13,934,Doha,QAT
World Aquatics Championships - Doha 2024,48.06,15/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,14,14,926,Doha,QAT
World Aquatics Championships - Doha 2024,48.08,11/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,15,15,925,Doha,QAT
2024 China National Swimming Championships,48.11,23/04/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,16,16,924,Shenzhen,CHN
World Aquatics Championships - Doha 2024,48.11,14/02/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,16,17,924,Doha,QAT
2024 China National Swimming Championships,48.13,19/04/2024,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,18,18,922,Shenzhen,CHN
