meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2024 AUS Olympic Trials,53.33,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,82,83,911,Brisbane,AUS
Southern California 2024,53.33,16/05/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,82,84,911,Irvine,USA
GBR Championships 2024,53.33,07/04/2024,Women's 100m Freestyle LCM Female,GBR,Great Britain,"HOPKIN, Anna",F,24/04/1996,,,82,85,911,London,GBR
Olympic Games Paris 2024,53.34,30/07/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,86,86,911,Paris,FRA
2024 China National Swimming Championships,53.34,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,86,87,911,Shenzhen,CHN
2024 TYR Pro Swim Series Westmont,53.35,09/03/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"MANUEL, Simone",F,02/08/1996,,,88,88,910,Westmont,USA
Russian National Swimming Cup,53.36,25/07/2024,Women's 100m Freestyle LCM Female,CLB,Club,"KLEPIKOVA, Daria",F,11/02/2005,,,89,89,910,Ekaterinburg,RUS
Olympic Games Paris 2024,53.38,30/07/2024,Women's 100m Freestyle LCM Female,FRA,France,"WATTEL, Marie",F,02/06/1997,,,90,90,909,Paris,FRA
2024 TYR Pro Swim Series Westmont,53.39,09/03/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,91,91,908,Westmont,USA
Olympic Games Paris 2024,53.40,30/07/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,92,92,908,Paris,FRA
2024 China National Swimming Championships,53.40,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,92,93,908,Shenzhen,CHN
Sette colli 2024,53.41,22/06/2024,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,94,94,907,Rome,ITA
2024 NSW Championships,53.46,15/03/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,95,95,904,Sydney,AUS
AP Race London 2024,53.49,27/05/2024,Women's 100m Freestyle LCM Female,GBR,Great Britain,"HOPKIN, Anna",F,24/04/1996,,,96,96,903,London,GBR
LEN Championships 2024,53.50,18/06/2024,Women's 100m Freestyle LCM Female,CZE,Czechia,"SEEMANOVA, Barbora",F,01/04/2000,,,97,97,902,Belgrade,SRB
2024 NSW Championships,53.50,15/03/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"CAMPBELL, Bronte",F,14/05/1994,,,97,98,902,Sydney,AUS
World Aquatics Championships - Doha 2024,53.50,15/02/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,97,99,902,Doha,QAT
Olympic Games Paris 2024,53.53,30/07/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,100,100,901,Paris,FRA
Sette colli 2024,53.53,22/06/2024,Women's 100m Freestyle LCM Female,GBR,Great Britain,"HOPKIN, Anna",F,24/04/1996,,,100,101,901,Rome,ITA
Olympic Games Paris 2024,53.54,30/07/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"WALSH, Gretchen",F,29/01/2003,,,102,102,900,Paris,FRA
Olympic Games Paris 2024,53.54,27/07/2024,Women's 100m Freestyle LCM Female,FRA,France,"GASTALDELLO, Beryl",F,16/02/1995,,,102,103,900,Paris,FRA
Mare Nostrum Canet 2024,53.55,26/05/2024,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,104,104,900,Canet-en-Roussillon,FRA
2024 China National Swimming Championships,53.55,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LI, Bingjie",F,03/03/2002,,,104,105,900,Shenzhen,CHN
2024 U.S. Olympic Trials,53.56,18/06/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"WEITZEIL, Abbey",F,03/12/1996,,,106,106,899,Indianapolis,USA
Southern California 2024,53.56,16/05/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"WEITZEIL, Abbey",F,03/12/1996,,,106,107,899,Irvine,USA
2024 AUS Championships,53.58,17/04/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,108,108,898,Gold Coast,AUS
Olympic Games Paris 2024,53.60,27/07/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"WEITZEIL, Abbey",F,03/12/1996,,,109,109,897,Paris,FRA
2024 U.S. Olympic Trials,53.60,18/06/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"WALSH, Gretchen",F,29/01/2003,,,109,110,897,Indianapolis,USA
French Elite 2024,53.61,18/06/2024,Women's 100m Freestyle LCM Female,FRA,France,"WATTEL, Marie",F,02/06/1997,,,111,111,897,Chartres,FRA
2024 AUS Olympic Trials,53.61,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"THROSSELL, Brianna",F,10/02/1996,,,111,112,897,Brisbane,AUS
2024 AUS Olympic Trials,53.61,14/06/2024,Women's 100m Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,111,113,897,Brisbane,AUS
2024 U.S. Olympic Trials,53.62,18/06/2024,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,114,114,896,Indianapolis,USA
Sette colli 2024,53.63,22/06/2024,Women's 100m Freestyle LCM Female,SWE,Sweden,"COLEMAN, Michelle",F,31/10/1993,,,115,115,896,Rome,ITA
