meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2026 Inter College Swimming Championships (50m),47.83,04/09/2026,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,1,1,912,Kadoma,JPN
2026 Shouxiangu China National Swimming Championships (50m),47.91,16/06/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,2,2,908,Hangzhou,CHN
2026 China Open Swimming Championships (50m),47.94,21/03/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,3,3,906,Shenzhen,CHN
2026 Inter College Swimming Championships (50m),47.95,03/09/2026,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,4,4,906,Kadoma,JPN
2026 China Open Swimming Championships (50m),48.05,21/03/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,5,5,900,Shenzhen,CHN
2026 Shouxiangu China National Swimming Championships (50m),48.14,20/06/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,6,6,895,Hangzhou,CHN
2026 Shouxiangu China National Swimming Championships (50m),48.23,16/06/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,7,7,890,Hangzhou,CHN
2026 Pan Pacific Swimming Championships (50m),48.25,13/08/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHANG, Zhanshuo",M,14/05/2007,,,8,8,889,Irvine,USA
2026 Japan Swim (50m),48.27,21/03/2026,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,9,9,888,Tokyo,JPN
2026 Pan Pacific Swimming Championships (50m),48.29,14/08/2026,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,10,10,887,Irvine,USA
2026 Inter College Swimming Championships (50m),48.31,03/09/2026,Men's 100m Freestyle LCM Male,JPN,Japan,"MITSUNAGA, Shoon",M,28/06/2005,,,11,11,886,Kadoma,JPN
2026 Shouxiangu China National Swimming Championships (50m),48.33,16/06/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHANG, Zhanshuo",M,14/05/2007,,,12,12,884,Hangzhou,CHN
2026 Shouxiangu China National Swimming Championships (50m),48.36,20/06/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,13,13,883,Hangzhou,CHN
2026 Shouxiangu China National Swimming Championships (50m),48.36,16/06/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,13,14,883,Hangzhou,CHN
2026 China Open Swimming Championships (50m),48.39,21/03/2026,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,15,15,881,Shenzhen,CHN
2026 Pan Pacific Swimming Championships (50m),48.42,13/08/2026,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,16,16,879,Irvine,USA
2026 Australian Swimming Trials (50m),48.43,11/06/2026,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,17,17,879,Sydney,AUS
2026 Japan Swim (50m),48.43,21/03/2026,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,17,18,879,Tokyo,JPN
2026 Australian Swimming Trials (50m),48.44,11/06/2026,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"KIM, Youngbeom",M,31/03/2006,,,19,19,878,Sydney,AUS
