meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2025 National Championships,52.43,03/06/2025,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,1,1,959,Indianapolis,USA
World Aquatics Championships - Singapore 2025,52.55,01/08/2025,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,2,2,952,Singapore,SGP
2025 Queensland Championships (50m),52.56,15/12/2025,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,3,3,952,Brisbane,AUS
World Aquatics Championships - Singapore 2025,52.67,01/08/2025,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,4,4,946,Singapore,SGP
AP Race London International 2025,52.77,26/05/2025,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,5,5,940,London,GBR
2025 Dutch National Championships (50m),52.78,12/06/2025,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,6,6,940,Amersfoort,NED
2025 National Championships,52.78,03/06/2025,Women's 100m Freestyle LCM Female,USA,United States of America,"WALSH, Gretchen",F,29/01/2003,,,6,7,940,Indianapolis,USA
World Aquatics Junior Swimming Championships 2025,52.79,21/08/2025,Women's 100m Freestyle LCM Female,USA,United States of America,"ERISMAN, Rylee",F,31/03/2009,,,8,8,939,Otopeni,ROU
World Aquatics Championships - Singapore 2025,52.79,27/07/2025,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,8,9,939,Singapore,SGP
World Aquatics Championships - Singapore 2025,52.81,31/07/2025,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,10,10,938,Singapore,SGP
World Aquatics Championships - Singapore 2025,52.82,31/07/2025,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,11,11,938,Singapore,SGP
2025 National Championships,52.83,03/06/2025,Women's 100m Freestyle LCM Female,USA,United States of America,"MANUEL, Simone",F,02/08/1996,,,12,12,937,Indianapolis,USA
2025 Australian Swimming Trials,52.87,13/06/2025,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,13,13,935,Adelaide,AUS
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),52.89,15/11/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,14,14,934,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,52.89,01/08/2025,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,14,15,934,Singapore,SGP
2025 Swiss International Open Challenge (50m),52.90,21/12/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,16,16,934,Oberkirch,SUI
2025 TYR Pro Swim Series - Fort Lauderdale,52.90,01/05/2025,Women's 100m Freestyle LCM Female,USA,United States of America,"WALSH, Gretchen",F,29/01/2003,,,16,17,934,Fort Lauderdale,USA
World Aquatics Championships - Singapore 2025,52.91,01/08/2025,Women's 100m Freestyle LCM Female,NED,Netherlands,"VAN WIJK, Milou",F,12/11/2004,,,18,18,933,Singapore,SGP
2025 Queensland Championships (50m),52.92,15/12/2025,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,19,19,932,Brisbane,AUS
2025 TYR Pro Swim Series - Fort Lauderdale,52.95,01/05/2025,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,20,20,931,Fort Lauderdale,USA
World Aquatics Championships - Singapore 2025,52.98,01/08/2025,Women's 100m Freestyle LCM Female,NAB,Neutral Athletes B,"KLEPIKOVA, Daria",F,11/02/2005,,,21,21,929,Singapore,SGP
