meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2026 Mare Nostrum Canet (50m),52.36,27/05/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,1,1,963,Canet-en-Roussillon,FRA
2026 Bergen Swim Festival (50m),52.40,18/04/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,2,2,961,Bergen,NOR
62nd Internazionali d'Italia Sette Colli 2026 (50m),52.52,27/06/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,3,3,954,Rome,ITA
47th Int. Swim Meeting - Mare Nostrum Barcelona 2026 (50m),52.53,30/05/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,4,4,953,Barcelona,ESP
2026 Dubai Open Swimming Championships (50m),52.77,08/02/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,5,5,940,Dubai,UAE
2026 Malmsten Swim Open Stockholm (50m),52.79,12/04/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,6,6,939,Stockholm,SWE
2026 China Open Swimming Championships (50m),52.79,19/03/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,6,7,939,Shenzhen,CHN
2026 Hong Kong Open Swimming Championships (50m),52.88,09/08/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,8,8,935,Hong Kong,HKG
2026 Shouxiangu China National Swimming Championships (50m),53.43,18/06/2026,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YU, Yiting",F,05/09/2005,,,9,9,906,Hangzhou,CHN
2026 Pan Pacific Swimming Championships (50m),53.46,13/08/2026,Women's 100m Freestyle LCM Female,PHI,Philippines,"SANCHEZ, Kayla",F,07/04/2001,,,10,10,904,Irvine,USA
2026 Shouxiangu China National Swimming Championships (50m),53.48,18/06/2026,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,11,11,903,Hangzhou,CHN
2026 Shouxiangu China National Swimming Championships (50m),53.61,18/06/2026,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,12,12,897,Hangzhou,CHN
2026 Shouxiangu China National Swimming Championships (50m),53.64,18/06/2026,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,13,13,895,Hangzhou,CHN
2026 Pan Pacific Swimming Championships (50m),53.65,13/08/2026,Women's 100m Freestyle LCM Female,PHI,Philippines,"SANCHEZ, Kayla",F,07/04/2001,,,14,14,895,Irvine,USA
2026 China Open Swimming Championships (50m),53.69,19/03/2026,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,15,15,893,Shenzhen,CHN
