meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
62nd Internazionali d'Italia Sette Colli 2026 (50m),51.68,27/06/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,1,1,1001,Rome,ITA
2026 Pan Pacific Swimming Championships (50m),51.69,14/08/2026,Women's 100m Freestyle LCM Female,USA,United States of America,"DOUGLASS, Kate",F,17/11/2001,,,2,2,1001,Irvine,USA
2026 European Swimming Trials (50m),51.82,04/07/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,3,3,993,Eindhoven,NED
2026 Mare Nostrum Canet (50m),51.86,27/05/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,4,4,991,Canet-en-Roussillon,FRA
2026 Toyota National Championships (50m),51.88,28/07/2026,Women's 100m Freestyle LCM Female,USA,United States of America,"MOESCH, Anna",F,17/10/2005,,,5,5,990,Irvine,USA
2026 European Aquatics Championships (50m),51.90,11/08/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,6,6,989,Paris,FRA
2026 AP Race London International (50m),51.94,25/05/2026,Women's 100m Freestyle LCM Female,USA,United States of America,"MOESCH, Anna",F,17/10/2005,,,7,7,986,London,GBR
47th Int. Swim Meeting - Mare Nostrum Barcelona 2026 (50m),51.97,30/05/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,8,8,985,Barcelona,ESP
2026 TYR Pro Swim Series - Indianapolis (50m),52.11,20/06/2026,Women's 100m Freestyle LCM Female,USA,United States of America,"MOESCH, Anna",F,17/10/2005,,,9,9,977,Indianapolis,USA
2026 Australian Swimming Trials (50m),52.33,12/06/2026,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,10,10,964,Sydney,AUS
2026 Bergen Swim Festival (50m),52.33,18/04/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,10,11,964,Bergen,NOR
2026 Mare Nostrum Canet (50m),52.36,27/05/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,12,12,963,Canet-en-Roussillon,FRA
2026 Bergen Swim Festival (50m),52.40,18/04/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,13,13,961,Bergen,NOR
2026 European Aquatics Championships (50m),52.44,10/08/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,14,14,958,Paris,FRA
2026 Pan Pacific Swimming Championships (50m),52.51,14/08/2026,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,15,15,954,Irvine,USA
62nd Internazionali d'Italia Sette Colli 2026 (50m),52.52,27/06/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,16,16,954,Rome,ITA
47th Int. Swim Meeting - Mare Nostrum Barcelona 2026 (50m),52.53,30/05/2026,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,17,17,953,Barcelona,ESP
2026 Pan Pacific Swimming Championships (50m),52.57,13/08/2026,Women's 100m Freestyle LCM Female,USA,United States of America,"WALSH, Gretchen",F,29/01/2003,,,18,18,951,Irvine,USA
2026 Pan Pacific Swimming Championships (50m),52.60,13/08/2026,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,19,19,950,Irvine,USA
2026 European Aquatics Championships (50m),52.62,10/08/2026,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,20,20,949,Paris,FRA
2026 Australian Swimming Trials (50m),52.63,12/06/2026,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,21,21,948,Sydney,AUS
