meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
19th Asian Games 2023,46.97,24/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,1,1,992,Hangzhou,CHN
19th Asian Games 2023,47.06,28/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,2,2,987,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,47.15,27/07/2023,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,3,3,981,Fukuoka,JPN
Chinese Spring National Championships (50m),47.22,01/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,4,4,977,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,47.31,27/07/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,5,5,971,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.42,27/07/2023,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,6,6,964,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.43,27/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,7,7,964,Fukuoka,JPN
2023 Australian Trials,47.44,16/06/2023,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,8,8,963,Melbourne,AUS
World Aquatics Championships - Fukuoka 2023,47.45,27/07/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,9,9,963,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.47,26/07/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,10,10,961,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.52,26/07/2023,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,11,11,958,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.54,23/07/2023,Men's 100m Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,12,12,957,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.59,26/07/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,13,13,954,Fukuoka,JPN
2023 CHN Championships,47.60,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,14,14,954,Jinan,CHN
ITA Championships 2023,47.61,30/11/2023,Men's 100m Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,15,15,953,Riccione,ITA
World Aquatics Championships - Fukuoka 2023,47.61,26/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,15,16,953,Fukuoka,JPN
ROU Championships 2023,47.61,08/04/2023,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,15,17,953,Otopeni,ROU
World Aquatics Championships - Fukuoka 2023,47.62,26/07/2023,Men's 100m Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,18,18,952,Fukuoka,JPN
French Elite 2023,47.62,13/06/2023,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,18,19,952,Rennes,FRA
2023 Phillips 66,47.63,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27/06/1995,,,20,20,952,Indianapolis,USA
World Aquatics Championships - Fukuoka 2023,47.66,26/07/2023,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,21,21,950,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.67,23/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,22,22,949,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.68,26/07/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,23,23,949,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.71,26/07/2023,Men's 100m Freestyle LCM Male,CAY,Cayman Islands,"CROOKS, Jordan",M,02/05/2002,,,24,24,947,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.71,26/07/2023,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,24,25,947,Fukuoka,JPN
GBR Championships 2023,47.72,06/04/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,26,26,946,Sheffield,GBR
2023 Phillips 66,47.75,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,27,27,945,Indianapolis,USA
World Aquatics Championships - Fukuoka 2023,47.77,26/07/2023,Men's 100m Freestyle LCM Male,CAY,Cayman Islands,"CROOKS, Jordan",M,02/05/2002,,,28,28,943,Fukuoka,JPN
2023 Australian Trials,47.77,16/06/2023,Men's 100m Freestyle LCM Male,AUS,Australia,"SOUTHAM, Flynn",M,05/06/2005,,,28,29,943,Melbourne,AUS
Russian National Swimming Cup Final,47.78,30/07/2023,Men's 100m Freestyle LCM Male,RUS,Russian Federation,"GIREV, Ivan",M,29/06/2000,,,30,30,943,Kazan,RUS
2023 CHN Championships,47.79,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,31,31,942,Jinan,CHN
World Aquatics Championships - Fukuoka 2023,47.83,27/07/2023,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,32,32,940,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.84,26/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,33,33,939,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.84,23/07/2023,Men's 100m Freestyle LCM Male,AUS,Australia,"CARTWRIGHT, Jack",M,22/09/1998,,,33,34,939,Fukuoka,JPN
Romanian Cup,47.85,03/06/2023,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,35,35,939,Otopeni,ROU
2023 JPN Championships,47.85,06/04/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,35,36,939,Tokyo,JPN
Brazil Trophy 2023,47.86,01/06/2023,Men's 100m Freestyle LCM Male,BRA,Brazil,"CHIERIGHINI, Marcelo",M,15/01/1991,,,37,37,938,Recife,BRA
2023 BELL Canadian Trials,47.86,31/03/2023,Men's 100m Freestyle LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,37,38,938,Toronto,CAN
World Aquatics Championships - Fukuoka 2023,47.87,26/07/2023,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,39,39,938,Fukuoka,JPN
2023 Phillips 66,47.87,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"LASCO, Destin",M,07/08/2001,,,39,40,938,Indianapolis,USA
Russian National Swimming Cup Final,47.88,30/07/2023,Men's 100m Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,41,41,937,Kazan,RUS
Chinese Spring National Championships,47.89,19/03/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,42,42,936,Qingdao,CHN
World Aquatics Championships - Fukuoka 2023,47.90,26/07/2023,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,43,43,936,Fukuoka,JPN
2023 Phillips 66,47.93,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,44,44,934,Indianapolis,USA
2023 Phillips 66,47.93,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"KING, Matt",M,19/02/2002,,,44,45,934,Indianapolis,USA
World Aquatics Championships - Fukuoka 2023,47.94,27/07/2023,Men's 100m Freestyle LCM Male,CAY,Cayman Islands,"CROOKS, Jordan",M,02/05/2002,,,46,46,933,Fukuoka,JPN
Russian National Swimming Cup Final,47.96,29/07/2023,Men's 100m Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,47,47,932,Kazan,RUS
World Aquatics Swimming World Cup 2023 - Berlin,47.97,07/10/2023,Men's 100m Freestyle LCM Male,ITA,Italy,"CECCON, Thomas",M,27/01/2001,,,48,48,932,Berlin,GER
Russian National Championships (50m),47.97,21/04/2023,Men's 100m Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21/07/1996,,,48,49,932,Kazan,RUS
Russian National Swimming Cup Final,47.98,30/07/2023,Men's 100m Freestyle LCM Male,NAB,Neutral Athletes B,"KORNEV, Egor",M,06/02/2004,,,50,50,931,Kazan,RUS
2023 Phillips 66,47.98,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"GUILIANO, Chris",M,25/06/2003,,,50,51,931,Indianapolis,USA
Campeonatos Nacionais POR,47.98,31/03/2023,Men's 100m Freestyle LCM Male,POR,Portugal,"MATOS RIBEIRO, Diogo",M,27/10/2004,,,50,52,931,Funchal,POR
Russian National Swimming Cup Final,47.99,29/07/2023,Men's 100m Freestyle LCM Male,RUS,Russian Federation,"GIREV, Ivan",M,29/06/2000,,,53,53,931,Kazan,RUS
2023 Phillips 66,47.99,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"KING, Matt",M,19/02/2002,,,53,54,931,Indianapolis,USA
GBR Championships 2023,47.99,06/04/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,12/02/2000,,,53,55,931,Sheffield,GBR
2023 Phillips 66,48.00,27/06/2023,Men's 100m Freestyle LCM Male,USA,United States of America,"LASCO, Destin",M,07/08/2001,,,56,56,930,Indianapolis,USA
Australian National Championships (50m),48.00,20/04/2023,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,56,57,930,Gold Coast,AUS
GBR Championships 2023,48.00,06/04/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"SCOTT, Duncan",M,06/05/1997,,,56,58,930,Sheffield,GBR
Campeonatos Nacionais POR,48.01,31/03/2023,Men's 100m Freestyle LCM Male,POR,Portugal,"MATOS RIBEIRO, Diogo",M,27/10/2004,,,59,59,929,Funchal,POR
19th Asian Games 2023,48.02,24/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,60,60,929,Hangzhou,CHN
GBR Championships 2023,48.02,06/04/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"RICHARDS, Matthew",M,17/12/2002,,,60,61,929,Sheffield,GBR
Rotterdam 2023,48.03,02/12/2023,Men's 100m Freestyle LCM Male,GBR,Great Britain,"WHITTLE, Jacob Henry",M,25/09/2004,,,62,62,928,Rotterdam,NED
Russian National Swimming Cup Final,48.03,29/07/2023,Men's 100m Freestyle LCM Male,NAB,Neutral Athletes B,"KORNEV, Egor",M,06/02/2004,,,62,63,928,Kazan,RUS
World Aquatics Championships - Fukuoka 2023,48.03,26/07/2023,Men's 100m Freestyle LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,62,64,928,Fukuoka,JPN
Russian National Championships (50m),48.03,20/04/2023,Men's 100m Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21/07/1996,,,62,65,928,Kazan,RUS
19th Asian Games 2023,48.04,24/09/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,66,66,928,Hangzhou,CHN
Pan American Games 2023,48.06,23/10/2023,Men's 100m Freestyle LCM Male,BRA,Brazil,"SANTOS, Guilherme",M,01/03/2003,,,67,67,926,Santiago,CHI
